,date,region,source,ship_type,area,location,pollutant,estimated_litres
0,2/07/2002,Cairns,Ship,Commercial,port limits,"Trinity Inlet, Cairns Harbour",diesel,unknown
1,3/07/2002,Cairns,Unknown,Recreational,coastal waters,"Marina Mirage, Port Douglas",bilge,unknown
2,12/07/2002,Gladstone,Ship,Unknown,coastal waters,SE of Double Island Point,bilge,unknown
3,22/07/2002,Brisbane,Unknown,Unknown,coastal waters,"Town Reach, Brisbane River",diesel,unknown
4,1/08/2002,Brisbane,Ship,Recreational,coastal waters,Canal area - Benowa,diesel,unknown
5,5/08/2002,Mackay,Ship,Commercial,port limits,Mackay Harbour,diesel,unknown
6,7/08/2002,Townsville,Ship,Commercial,port limits,"Ross Creek, Townsville",diesel,unknown
7,12/08/2002,Brisbane,Land,Unknown,coastal waters,Breakfast Creek,diesel,unknown
8,13/08/2002,Cairns,Ship,Recreational,coastal waters,11°44.31'S; 143°05.059'E,diesel,unknown
9,15/08/2002,Townsville,Ship,Commercial,port limits,"Fisherman's Wharf, Ross River",diesel,unknown
10,16/08/2002,Cairns,Ship,Commercial,coastal waters,"Marina Mirage, Port Douglas",diesel,unknown
11,20/08/2002,Cairns,Ship,Commercial,port limits,"Evans Landing, Weipa",diesel,unknown
12,23/08/2002,Cairns,Ship,Recreational,coastal waters,"Marina Mirage, Port Douglas",diesel,unknown
13,25/08/2002,Brisbane,Land,Unknown,port limits,Fisherman Island Berth #1&2,other,unknown
14,31/08/2002,Brisbane,Ship,Recreational,coastal waters,"Morton Bay Boat Club, Scarborough",bilge,unknown
15,2/09/2002,Cairns,Ship,Commercial,coastal waters,"09°57'S;142°56'E, western side of Dungeress Reef",diesel,unknown
16,2/09/2002,Gladstone,Ship,Commercial,coastal waters,12 nm SSE of High Peak,bilge,unknown
17,8/09/2002,Brisbane,Land,Unknown,port limits,"BP crude Terminal - Bulwer Island, Brisbane River",hfo,unknown
18,9/09/2002,Cairns,Ship,Recreational,coastal waters,"Hospital Pt, Thursday Island",diesel,unknown
19,9/09/2002,Gladstone,Ship,Commercial,port limits,RG Tanna Coal Terminal wharf,hydraulic oil,unknown
20,14/09/2002,Mackay,Ship,Commercial,coastal waters,Shute Harbour,bilge,unknown
21,19/09/2002,Mackay,Ship,Recreational,coastal waters,Mackay Marina,garbage,unknown
22,28/09/2002,Gladstone,Ship,Commercial,coastal waters,North Reef 23°10's;151°57'E,bilge,unknown
23,29/09/2002,Brisbane,Unknown,Unknown,coastal waters,"Saraha St Deagon, Brisbane River",bilge,unknown
24,1/10/2002,Brisbane,Unknown,Unknown,port limits,"BP Products Berth, Pinkenba Reach Brisbane River",diesel,unknown
25,2/10/2002,Gladstone,Ship,Unknown,coastal waters,North East of Lady Musgrave Is,bilge,unknown
26,2/10/2002,Townsville,Ship,Commercial,coastal waters,Anzac Reef 18°43'S;147°53'E,garbage,unknown
27,7/10/2002,Brisbane,Land,Unknown,port limits,Fisherman Island Berth #1&2,diesel,unknown
28,8/10/2002,Mackay,Ship,Commercial,coastal waters,22°19.25'S;151°17.7'E,bilge,unknown
29,9/10/2002,Cairns,Ship,Recreational,coastal waters,"Marina Mirage, Port Douglas",diesel,unknown
30,19/10/2002,Brisbane,Ship,Commercial,port limits,"BP Products Berth, Pinkenba Reach Brisbane River",hfo,unknown
31,19/10/2002,Brisbane,Unknown,Unknown,coastal waters,"Gardens Point, Brisbane River",diesel,unknown
32,23/10/2002,Brisbane,Ship,Recreational,coastal waters,"Kiwana Boat Ramp, Sunshine Coast",diesel,unknown
33,27/10/2002,Brisbane,Unknown,Unknown,port limits,Caltex Fisherman Island Wharf,diesel,unknown
34,31/10/2002,Brisbane,Ship,Recreational,coastal waters,"Docksde Marina, Brisbane River",bilge,unknown
35,8/11/2002,Mackay,Ship,Recreational,coastal waters,"Tounge Bay, Whitsunday Island",diesel,unknown
36,11/11/2002,Gladstone,Ship,Recreational,coastal waters,"Tin Can Bay, Boat Ramp at Norman Point",bilge,unknown
37,13/11/2002,Brisbane,Ship,Recreational,coastal waters,"Scarborough Marina, MBBC",diesel,unknown
38,14/11/2002,Cairns,Ship,Recreational,coastal waters,Main Beach Thursday Island,diesel,unknown
39,18/11/2002,Mackay,Ship,Commercial,coastal waters,Shute Harbour,bilge,unknown
40,2/12/2002,Cairns,Ship,Commercial,coastal waters,vicinity of Three Isles,diesel,unknown
41,10/12/2002,Brisbane,Land,Unknown,port limits,Caltex Products Wharf - Lyton,hfo,unknown
42,10/12/2002,Cairns,Ship,Unknown,coastal waters,smith's creek,diesel,unknown
43,18/12/2002,Brisbane,Unknown,Unknown,coastal waters,Wellington Point,paint,unknown
44,21/12/2002,Brisbane,Ship,Recreational,coastal waters,"Scarborough Marina, MBBC",diesel,unknown
45,17/01/2003,Cairns,Ship,Recreational,coastal waters,"Port Douglas, Dickson Inlet",diesel,unknown
46,1/02/2003,Gladstone,Ship,Recreational,port limits,Gladstone Marina,diesel,unknown
47,2/02/2003,Gladstone,Ship,Recreational,port limits,Gladstone Marina,diesel,unknown
48,5/02/2003,Cairns,Ship,Unknown,coastal waters,"Endeavour River, Cooktown",diesel,unknown
49,6/02/2003,Mackay,Ship,Commercial,coastal waters,hydrographers passage,bilge,unknown
50,11/02/2003,Mackay,Ship,Commercial,coastal waters,Abel Point Marina,bilge,unknown
51,12/02/2003,Cairns,Land,Unknown,coastal waters,"swampy creek, lakeland down",other,unknown
52,12/02/2003,Mackay,Ship,Commercial,coastal waters,65 nm ENE of Gladstone,bilge,unknown
53,19/02/2003,Brisbane,Ship,Commercial,port limits,Fisherman Island Berth #1&2,hfo,unknown
54,20/02/2003,Brisbane,Unknown,Unknown,port limits,"QCL - Bp Products Berth, Brisbane River",diesel,unknown
55,22/02/2003,Brisbane,Ship,Commercial,port limits,Doboy Creek,diesel,unknown
56,24/02/2003,Mackay,Ship,Commercial,coastal waters,Mackay Marina,diesel,unknown
57,26/02/2003,Cairns,Ship,Commercial,port limits,Cairns Inlet,diesel,unknown
58,27/02/2003,Brisbane,Ship,Unknown,port limits,NW3 - NW8 North West Channel Moreton Bay,diesel,unknown
59,4/03/2003,Cairns,Unknown,Unknown,port limits,cairns inlet,diesel,unknown
60,12/03/2003,Brisbane,Land,Unknown,port limits,Caltex Wharf - Brisbane River,bilge,unknown
61,12/03/2003,Brisbane,Ship,Commercial,port limits,"Shell Wharf, Brisbane River",hfo,unknown
62,12/03/2003,Mackay,Ship,Commercial,coastal waters,Mackay Marina,diesel,unknown
63,14/03/2003,Brisbane,Unknown,Unknown,coastal waters,"Riverside Centre, Brisbane River",diesel,unknown
64,17/03/2003,Brisbane,Land,Unknown,port limits,"Hamilton Reach, Brisbane River",bilge,unknown
65,18/03/2003,Brisbane,Land,Unknown,port limits,Lytton - Quaritine Flats Reach,hfo,unknown
66,24/03/2003,Brisbane,Unknown,Unknown,port limits,E1 and E3 Eastern Channel - moreton bay,diesel,unknown
67,27/03/2003,Brisbane,Land,Unknown,port limits,Maritime Berths 1&2,other,unknown
68,17/04/2003,Mackay,Ship,Unknown,coastal waters,10.5 nm NE Wigton Is - Whitsunday's,diesel,unknown
69,27/04/2003,Cairns,Ship,Commercial,coastal waters,Turu Cay - 09°49'S; 141°26'E,diesel,unknown
70,28/04/2003,Brisbane,Land,Unknown,port limits,Pinkenba,oil (unspec),unknown
71,29/04/2003,Gladstone,Ship,Commercial,coastal waters,Rosslyn Bay Boat Harbour,diesel,unknown
72,6/05/2003,Brisbane,Ship,Recreational,coastal waters,"Moreton Bay Boat Club, Scarborough Harbour",diesel,unknown
73,10/05/2003,Mackay,Unknown,Unknown,coastal waters,Apostle Bay/Tongue Point - Whitsundays,diesel,unknown
74,11/05/2003,Mackay,Ship,Recreational,coastal waters,Sawmill Bay - 20°15'S; 148°56'E,diesel,unknown
75,14/05/2003,Cairns,Ship,Unknown,coastal waters,Thursday Island Boat Harbour,diesel,unknown
76,26/05/2003,Cairns,Ship,Unknown,coastal waters,"Marina Mirage, Port Douglas",diesel,unknown
77,27/05/2003,Cairns,Ship,Unknown,coastal waters,Thursday Island Boat Harbour,diesel,unknown
78,28/05/2003,Brisbane,Land,Unknown,coastal waters,southbank,diesel,unknown
79,28/05/2003,Brisbane,Land,Unknown,port limits,caltex crude berth - fisherman island,diesel,unknown
80,29/05/2003,Cairns,Ship,Unknown,coastal waters,Thursday Island Boat Harbour,diesel,unknown
81,30/05/2003,Cairns,Ship,Commercial,port limits,Humbug Wharf - Weipa,bilge,unknown
82,31/05/2003,Brisbane,Ship,Commercial,port limits,Maritime Berths 1&2,hfo,unknown
83,31/05/2003,Brisbane,Ship,Commercial,port limits,"Raptis Wharf Colmslie, Brisbane River",diesel,unknown
84,25/06/2003,Brisbane,Unknown,Unknown,coastal waters,"Bulimba Reach, Brisbane River",diesel,unknown
85,4/07/2003,Brisbane,Unknown,Unknown,port limits,"Cabbage Tree Creek, Brisbane",sheen,unknown
86,11/07/2003,Mackay,Ship,Commercial,port limits,"Mackay Marina, Mackay",diesel,unknown
87,26/07/2003,Brisbane,Unknown,Unknown,coastal waters,"East Brisbane Reach, Brisbane River",sheen,unknown
88,4/08/2003,Gladstone,Ship,Commercial,coastal waters,Rosslyn Bay Boat Harbour,diesel,unknown
89,9/08/2003,Brisbane,Unknown,Unknown,port limits,"Hemmant Barge Landing, Brisbane River",sheen,unknown
90,23/08/2003,Brisbane,Ship,Unknown,port limits,Moreton Bay,sheen,unknown
91,10/09/2003,Brisbane,Ship,Commercial,port limits,"Fishermans Islands Coal Berth, Brisbane River",hydraulic oil,unknown
92,10/09/2003,Gladstone,Ship,Commercial,port limits,"Fishermans  Landing, Gladstone",hydraulic oil,unknown
93,11/09/2003,Cairns,Ship,Unknown,port limits,Thursday Island,diesel,unknown
94,12/09/2003,Cairns,Ship,Recreational,port limits,"Marlin Marina, Cairns",bilge,unknown
95,12/09/2003,Cairns,Ship,Unknown,port limits,"Trinity Inlet, Cairns",sheen,unknown
96,23/09/2003,Brisbane,Unknown,Unknown,port limits,"Fishermans Islands, Brisbane River",sheen,unknown
97,4/10/2003,Mackay,Ship,Commercial,coastal waters,Shute Harbour,sheen,unknown
98,6/10/2003,Cairns,Ship,Unknown,port limits,"Marlin Marina, Cairns",diesel,unknown
99,7/10/2003,Brisbane,Ship,Recreational,port limits,"Newport Waterways, Scarborough",sheen,unknown
100,10/10/2003,Brisbane,Ship,Unknown,port limits,"Scarbrogh Harbour, Brisbane",sheen,unknown
101,13/10/2003,Cairns,Ship,Unknown,coastal waters,Port Douglas,diesel,unknown
102,16/10/2003,Cairns,Ship,Unknown,coastal waters,Port Douglas,bilge,unknown
103,17/10/2003,Cairns,Ship,Commercial,coastal waters,"Flinders Group, Princess Charlote Bay FNQ",diesel,unknown
104,24/10/2003,Brisbane,Ship,Unknown,port limits,"Maritime #1 Wharf, Brisbane River",diesel,unknown
105,28/10/2003,Brisbane,Ship,Commercial,port limits,"BP Refinery Wharf, Brisbane River",other,unknown
106,29/10/2003,Mackay,Ship,Recreational,coastal waters,Shute Harbour,sheen,unknown
107,30/10/2003,Cairns,Ship,Commercial,port limits,"Lorim Point, Weipa",hydraulic oil,unknown
108,8/11/2003,Brisbane,Ship,Commercial,port limits,"Spitfire Channel, Moreton Bay",hydraulic oil,unknown
109,14/11/2003,Cairns,Ship,Recreational,coastal waters,Port Douglas,diesel,unknown
110,16/11/2003,Cairns,Ship,Commercial,coastal waters,"Chillie Beach, Cape Weymouth, FNQ",bilge,unknown
111,18/11/2003,Brisbane,Ship,Commercial,port limits,"STS1 Anchorage, Moreton Bay",bilge,unknown
112,20/11/2003,Townsville,Land,Unknown,port limits,"Shell Terminal, Berth 1, Townsville",diesel,unknown
113,23/11/2003,Brisbane,Unknown,Unknown,coastal waters,"Mooloola River, Sunshine Coast",sheen,unknown
114,4/12/2003,Mackay,Ship,Recreational,port limits,"Mackay Marina, Mackay",diesel,unknown
115,5/12/2003,Brisbane,Land,Unknown,coastal waters,"East Brisbane Reach, Brisbane River",sheen,unknown
116,7/12/2003,Brisbane,Ship,Commercial,port limits,Fishermans Islands Brisbane River,hydraulic oil,unknown
117,7/12/2003,Gladstone,Ship,Commercial,coastal waters,"Hoskyn Island, Capricorn Bunker Group",diesel,unknown
118,9/12/2003,Cairns,Unknown,Unknown,port limits,"Smiths Creek, Cairns",sheen,unknown
119,11/12/2003,Cairns,Unknown,Unknown,port limits,"Firewood Creek, Cairns",sheen,unknown
120,12/12/2003,Cairns,Unknown,Unknown,port limits,Thursday Island,sheen,unknown
121,17/12/2003,Brisbane,Ship,Commercial,port limits,"Brisbane Roads Anchorage, Moreton Bay",hydraulic oil,unknown
122,17/12/2003,Cairns,Ship,Commercial,port limits,Evans Landing Weipa,diesel,unknown
123,17/12/2003,Cairns,Land,Unknown,port limits,Thursday Island,sheen,unknown
124,18/12/2003,Cairns,Land,Unknown,port limits,Horn Island Cargo Facility,diesel,unknown
125,22/12/2003,Mackay,Ship,Commercial,coastal waters,"Mackay Marina, Mackay",bilge,unknown
126,26/12/2003,Brisbane,Ship,Commercial,port limits,"Caincross Fitting out Wharf, Brisbane River",hydraulic oil,unknown
127,26/12/2003,Brisbane,Ship,Recreational,coastal waters,"Caloundra Head, Sunshine Coast",diesel,unknown
128,27/12/2003,Cairns,Ship,Recreational,coastal waters,"Half Moon Bay Marina, Cairns",diesel,unknown
129,9/01/2004,Cairns,Ship,Commercial,port limits,"Firewood Creek, Cairns",sheen,unknown
130,11/01/2004,Brisbane,Unknown,Unknown,coastal waters,"Newport Waterways, Scarborough",sheen,unknown
131,12/01/2004,Mackay,Ship,Commercial,coastal waters,"Able Point Marina, Whitsunday",bilge,unknown
132,12/01/2004,Townsville,Ship,Commercial,coastal waters,"Queens Beach, Bowen",bilge,unknown
133,13/01/2004,Mackay,Ship,Commercial,coastal waters,"Hook Island, Whitsundays",bilge,unknown
134,15/01/2004,Mackay,Ship,Commercial,coastal waters,"Able Point Marina, Whitsunday",bilge,unknown
135,16/01/2004,Brisbane,Unknown,Unknown,port limits,"Bulimba Reach, Brisbane River",sheen,unknown
136,21/01/2004,Cairns,Ship,Commercial,port limits,"Tropical Reef Slipway, Trinity Inlet, Cairns",diesel,unknown
137,4/02/2004,Brisbane,Unknown,Unknown,coastal waters,"Minyama Canals, Sunshine Coast",diesel,unknown
138,8/02/2004,Brisbane,Ship,Recreational,port limits,"Newport Waterways, Scarborough",bilge,unknown
139,12/02/2004,Cairns,Ship,Commercial,coastal waters,Western entrance to Torres Strait,bilge,unknown
140,13/02/2004,Mackay,Unknown,Unknown,port limits,"Mackay Marina, Mackay",bilge,unknown
141,14/02/2004,Brisbane,Ship,Commercial,port limits,"Fishermans Islands, No 3, Moreton Bay",diesel,unknown
142,25/02/2004,Brisbane,Ship,Commercial,port limits,"Bar Cutting, Moreton Bay",sheen,unknown
143,27/02/2004,Cairns,Unknown,Unknown,port limits,"Wharf 6, Trinity Inlet, Cairns",sheen,unknown
144,2/04/2004,Brisbane,Land,Unknown,port limits,"Kedron Brook Floodway, Brisbane",other,unknown
145,3/04/2004,Brisbane,Ship,Commercial,coastal waters,"Newport Waterways, Scarborough",diesel,unknown
146,5/04/2004,Brisbane,Ship,Commercial,port limits,"Caltex, Fishermans Islands Berth",sheen,unknown
147,11/04/2004,Cairns,Ship,Recreational,port limits,Thursday Island,diesel,unknown
148,12/04/2004,Brisbane,Ship,Recreational,coastal waters,"Newport Waterways, Scarborough",other,unknown
149,15/04/2004,Brisbane,Unknown,Unknown,coastal waters,"Barralong Canal, Buddina",other,unknown
150,18/04/2004,Cairns,Ship,Unknown,port limits,"Main Wharf, Thursday Island",sheen,unknown
151,5/05/2004,Cairns,Land,Unknown,port limits,"Trinity Inlet, Cairns",diesel,unknown
152,16/05/2004,Mackay,Ship,Unknown,coastal waters,"Blue Pearl Bay, Hayman Island, Whitsundays",diesel,unknown
153,19/05/2004,Brisbane,Ship,Unknown,port limits,"Cabbage Tree Creek, Brisbane",sheen,unknown
154,19/05/2004,Cairns,Ship,Commercial,port limits,Thursday Island,diesel,unknown
155,21/05/2004,Brisbane,Ship,Recreational,port limits,"Manly Marine, Brisbane",diesel,unknown
156,22/05/2004,Brisbane,Ship,Unknown,port limits,"Lytton Reach, Brisbane River",sheen,unknown
157,22/05/2004,Cairns,Land,Unknown,port limits,"Trinity Inlet, Cairns",sheen,unknown
158,24/05/2004,Brisbane,Ship,Commercial,port limits,Gladstone Marina,diesel,unknown
159,24/05/2004,Gladstone,Ship,Commercial,port limits,Gladstone Marina,bilge,unknown
160,25/05/2004,Brisbane,Ship,Unknown,coastal waters,"Shaftston Reach, Brisbane River",bilge,unknown
161,27/05/2004,Cairns,Ship,Commercial,port limits,Thursday Island,bilge,unknown
162,4/06/2004,Cairns,Unknown,Unknown,port limits,"Trinity Inlet, Cairns",diesel,unknown
163,7/06/2004,Cairns,Unknown,Unknown,port limits,"Trinity Inlet, Cairns",diesel,unknown
164,10/06/2004,Brisbane,Unknown,Unknown,port limits,"Cabbage Tree Creek, Brisbane",sheen,unknown
165,10/06/2004,Cairns,Ship,Unknown,port limits,Thursday Island,bilge,unknown
166,14/06/2004,Brisbane,Land,Unknown,port limits,"Caltex, Fishermans Islands Berth",diesel,unknown
167,2/07/2004,Brisbane,Ship,Commercial,coastal waters,"Brisbane River, Eagle St Pier",sheen,unknown
168,27/07/2004,Cairns,Ship,Commercial,port limits,"Between D Finger CFB 1 & TR slipway, Trinity Inlet/ Smiths Creek",bilge,20.0
169,29/07/2004,Cairns,Unknown,Unknown,port limits,From Sinrab Point to Wharf 7,sheen,50.0
170,29/07/2004,Mackay,Unknown,Unknown,coastal waters,"Tongue Bay, Whitsunday Island",unknown,unknown
171,30/07/2004,Brisbane,Land,Unknown,coastal waters,"Helicopter Pontoon, South Bank Reach",other,unknown
