,Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
0,2/07/2002,Cairns,Ship,Commercial,Port,"Trinity Inlet, Cairns Harbour",Diesel,Unknown
1,3/07/2002,Cairns,Unknown,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Bilge,Unknown
2,12/07/2002,Gladstone,Ship,Unknown,Coastal Waters,SE of Double Island Point,Bilge,Unknown
3,22/07/2002,Brisbane,Unknown,Unknown,Coastal Waters,"Town Reach, Brisbane River",Diesel,Unknown
4,1/08/2002,Gold Coast,Ship,Recreational,Coastal Waters,Canal area - Benowa,Diesel,Unknown
5,5/08/2002,Mackay,Ship,Fishing,Port,Mackay Harbour,Diesel,Unknown
6,7/08/2002,Townsville,Ship,Commercial,Port,"Ross Creek, Townsville",Diesel,Unknown
7,12/08/2002,Brisbane,Land,,Coastal Waters,Breakfast Creek,Diesel,Unknown
8,13/08/2002,Cairns,Ship,Recreational,Offshore,11°44.31'S; 143°05.059'E,Diesel,Unknown
9,15/08/2002,Townsville,Ship,Fishing,Port,"Fisherman's Wharf, Ross River",Diesel,Unknown
10,16/08/2002,Cairns,Ship,Commercial,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
11,20/08/2002,Cairns,Ship,Fishing,Port,"Evans Landing, Weipa",Diesel,Unknown
12,23/08/2002,Cairns,Ship,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
13,25/08/2002,Brisbane,Land,,Port,Fisherman Island Berth #1&2,Cotton Seed Residue,Unknown
14,31/08/2002,Brisbane,Ship,Recreational,Coastal Waters,"Morton Bay Boat Club, Scarborough",Bilge,Unknown
15,2/09/2002,Cairns,Ship,Fishing,GBR,"09°57'S;142°56'E, western side of Dungeress Reef",Diesel,Unknown
16,2/09/2002,Gladstone,Ship,Trading,Coastal Waters,12 nm SSE of High Peak,Bilge,Unknown
17,8/09/2002,Brisbane,Land,,Port,"BP crude Terminal - Bulwer Island, Brisbane River",HFO,Unknown
18,9/09/2002,Cairns,Ship,Recreational,GBR,"Hospital Pt, Thursday Island",Diesel,Unknown
19,9/09/2002,Gladstone,Ship,Commercial,Port,RG Tanna Coal Terminal wharf,Hydraulic Oil,Unknown
20,14/09/2002,Mackay,Ship,Commercial,Coastal Waters,Shute Harbour,Bilge,Unknown
21,19/09/2002,Mackay,Ship,Recreational,Coastal Waters,Mackay Marina,Garbage,Unknown
22,28/09/2002,Gladstone,Ship,Trading,Coastal Waters,North Reef 23°10's;151°57'E,Bilge,Unknown
23,29/09/2002,Brisbane,Unknown,Unknown,Coastal Waters,"Saraha St Deagon, Brisbane River",Bilge,Unknown
24,1/10/2002,Brisbane,Unknown,Unknown,Port,"BP Products Berth, Pinkenba Reach Brisbane River",Diesel,Unknown
25,2/10/2002,Gladstone,Ship,Unknown,Coastal Waters,North East of Lady Musgrave Is,Bilge,Unknown
26,2/10/2002,Townsville,Ship,Fishing,GBR,Anzac Reef 18°43'S;147°53'E,Garbage,Unknown
27,7/10/2002,Brisbane,Land,,Port,Fisherman Island Berth #1&2,Diesel,Unknown
28,8/10/2002,Mackay,Ship,Trading,GBR,22°19.25'S;151°17.7'E,Bilge,Unknown
29,9/10/2002,Cairns,Ship,Recreational,Coastal Waters,"Marina Mirage, Port Douglas",Diesel,Unknown
30,19/10/2002,Brisbane,Ship,Trading,Port,"BP Products Berth, Pinkenba Reach Brisbane River",HFO,Unknown
31,19/10/2002,Brisbane,Unknown,Unknown,Coastal Waters,"Gardens Point, Brisbane River",Diesel,Unknown
32,23/10/2002,Brisbane,Ship,Recreational,Coastal Waters,"Kiwana Boat Ramp, Sunshine Coast",Diesel,Unknown
33,27/10/2002,Brisbane,Unknown,Unknown,Port,Caltex Fisherman Island Wharf,Diesel,Unknown
34,31/10/2002,Brisbane,Ship,Recreational,Coastal Waters,"Docksde Marina, Brisbane River",Bilge,Unknown
35,8/11/2002,Mackay,Ship,Recreational,GBR,"Tounge Bay, Whitsunday Island",Diesel,Unknown
36,11/11/2002,Gladstone,Ship,Recreational,Coastal Waters,"Tin Can Bay, Boat Ramp at Norman Point",Bilge,Unknown
37,13/11/2002,Brisbane,Ship,Recreational,Coastal Waters,"Scarborough Marina, MBBC",Diesel,Unknown
38,14/11/2002,Cairns,Ship,Recreational,Coastal Waters,Main Beach Thursday Island,Diesel,Unknown
39,18/11/2002,Mackay,Ship,Commercial,Coastal Waters,Shute Harbour,Bilge,Unknown
40,2/12/2002,Cairns,Ship,Commercial,GBR,vicinity of Three Isles,Diesel,Unknown
41,10/12/2002,Brisbane,Land,,Port,Caltex Products Wharf - Lyton,HFO,Unknown
42,10/12/2002,Cairns,Ship,Unknown,Coastal Waters,smith's creek,Diesel,Unknown
43,18/12/2002,Brisbane,Unknown,Unknown,Coastal Waters,Wellington Point,Paint,Unknown
44,21/12/2002,Brisbane,Ship,Recreational,Coastal Waters,"Scarborough Marina, MBBC",Diesel,Unknown
45,17/01/2003,Cairns,Ship,Recreational,Coastal Waters,"Port Douglas, Dickson Inlet",Diesel,Unknown
46,1/02/2003,Gladstone,Ship,Recreational,Port,Gladstone Marina,Diesel,Unknown
47,2/02/2003,Gladstone,Ship,Recreational,Port,Gladstone Marina,Diesel,Unknown
48,5/02/2003,Cairns,Ship,Unknown,Coastal Waters,"Endeavour River, Cooktown",Diesel,Unknown
49,6/02/2003,Mackay,Ship,Trading,GBR,hydrographers passage,Bilge,Unknown
50,11/02/2003,Mackay,Ship,Fishing,Coastal Waters,Abel Point Marina,Bilge,Unknown
51,12/02/2003,Cairns,Land,,Coastal Waters,"swampy creek, lakeland down",Tar,Unknown
52,12/02/2003,Mackay,Ship,Trading,Coastal Waters,65 nm ENE of Gladstone,Bilge,Unknown
53,19/02/2003,Brisbane,Ship,Trading,Port,Fisherman Island Berth #1&2,HFO,Unknown
